;Реестр оценки эффективности деятельности   государственных учреждений Свердловской области, подведомственных Министерству общего и профессионального образования Свердловской области, в  2018 году;;;;
;;;;;
;;;;;
Код ПБС;Наименование ПБС;Баллы;Максимальное количество баллов; Итоговый балл ;Уровень эффективности
012082;Государственное автономное профессиональное  образовательное учреждение Свердловской области «Нижнетагильский государственный профессиональный колледж имени Никиты Акинфиевича Демидова» ;96,00;100,00; 96,0   ;Высокоэффективное
012084;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский строительный колледж»;88,00;100,00; 88,0   ;Среднеэффективное
012087;Государственное автономное профессиональное образовательное учреждение Свердловской области «Нижнетагильский техникум  металлообрабатывающих производств и сервиса»;88,00;100,00; 88,0   ;Среднеэффективное
012090;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Нижнетагильский торгово-экономический колледж»;95,00;100,00; 95,0   ;Высокоэффективное
012091;Государственное автономное профессиональное образовательное учреждение Свердловской области «Областной техникум дизайна и сервиса» ;82,00;100,00; 82,0   ;Среднеэффективное
012092;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский политехникум»;94,00;100,00; 94,0   ;Высокоэффективное
012093;Государственное автономное профессиональное образовательное учреждение Свердловской области «Первоуральский металлургический колледж»;83,00;100,00; 83,0   ;Среднеэффективное
012095;Государственное автономное профессиональное образовательное учреждение Свердловской области  «Полевской многопрофильный техникум им. В.И. Назарова»;72,00;100,00; 72,0   ;Среднеэффективное
012099;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Ревдинский педагогический колледж»;99,00;100,00; 99,0   ;Высокоэффективное
012100;Государственное автономное профессиональное образовательное учреждение Свердловской области «Ревдинский многопрофильный техникум»;92,00;100,00; 92,0   ;Высокоэффективное
012103;Государственное бюджетное общеобразовательное учреждение Свердловской области, реализующее адаптированные основные общеобразовательные программы, «Центр психолого-медико-социального сопровождения «Речевой центр»;88,00;100,00; 88,0   ;Среднеэффективное
012105;Государственное бюджетное общеобразовательное учреждение Свердловской области кадетская школа-интернат «Свердловский кадетский корпус имени капитана 1 ранга М.В. Банных»;84,00;100,00; 84,0   ;Среднеэффективное
012106;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Северный педагогический колледж»;92,00;100,00; 92,0   ;Высокоэффективное
012107;Государственное автономное профессиональное образовательное учреждение Свердловской области «Североуральский политехникум»;84,00;100,00; 84,0   ;Среднеэффективное
012108;Государственное автономное профессиональное образовательное учреждение Свердловской области «Сергинский многопрофильный техникум»;84,00;100,00; 84,0   ;Среднеэффективное
012110;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Серовский политехнический техникум»;81,00;100,00; 81,0   ;Среднеэффективное
012111;Государственное бюджетное профессиональное образовательное учреждение Свердловской области «Серовский металлургический техникум»;72,00;100,00; 72,0   ;Среднеэффективное
